9.936188844528041386e+01;1.975720407699662928e+02;1.374215440310261727e+02
1.010083221183634663e+02;1.967534826881006893e+02;1.380046540122646945e+02
1.026411131567487587e+02;1.941768337072991812e+02;1.386075604741550649e+02
1.042446026801517860e+02;1.898007561689357203e+02;1.392291257054249627e+02
1.058044590928976874e+02;1.837917429316806306e+02;1.398680497217919196e+02
1.073077983956797965e+02;1.763251954327250814e+02;1.405228150589630616e+02
1.087432123501097720e+02;1.675753935615261980e+02;1.411915997177862891e+02
1.101007216217052331e+02;1.577076679773568912e+02;1.418721728110083404e+02
1.113716734830657202e+02;1.468729525565328231e+02;1.425617897431337724e+02
1.125486041643141135e+02;1.352046805578206090e+02;1.432571035142171354e+02
1.136250848256960637e+02;1.228178164800885952e+02;1.439541067397748577e+02
1.145955677723155901e+02;1.098096921723202968e+02;1.446481158781463421e+02
1.154552463619014020e+02;9.626224393540439905e+01;1.453338054287746104e+02
1.161999385045723301e+02;8.224522190365348706e+01;1.460052958473800402e+02
1.168260000602956268e+02;6.781995025753019490e+01;1.466562948111322271e+02
1.173302710088645000e+02;5.304324296261910376e+01;1.472802872910078520e+02
1.177100541096726118e+02;3.797111874900451767e+01;1.478707655957120153e+02
1.179631229880145753e+02;2.266201242059281640e+01;1.484214861734922124e+02
1.180877543166824921e+02;7.179249577120572212e+00;1.489267357909873226e+02
1.180827771476332515e+02;-8.407363386830866148e+00;1.493815863897715985e+02
1.179476315935686443e+02;-2.402088833183427141e+01;1.497821163148086612e+02
1.176824290087693470e+02;-3.957750332188538778e+01;1.501255765024311586e+02
1.172880065382038879e+02;-5.498752550112470772e+01;1.504104839825302804e+02
1.167659702504172685e+02;-7.015702497996898046e+01;1.506366314509292010e+02
1.161187227885377382e+02;-8.498981905342958498e+01;1.508050098754770545e+02
1.153494732661934421e+02;-9.938964165371260151e+01;1.509176499169354599e+02
1.144622287609758615e+02;-1.132623102761198197e+02;1.509773961162360933e+02
1.134617680949247784e+02;-1.265177489201499839e+02;1.509876342696227312e+02
1.123535996123066951e+02;-1.390717638477562446e+02;1.509519964736642521e+02
1.111439053641288410e+02;-1.508475094344018430e+02;1.508740696445081255e+02
1.098394744550666644e+02;-1.617766247017763703e+02;1.507571319660389122e+02
1.084476282857659015e+02;-1.718000606735344604e+02;1.506039381755266504e+02
1.069761401105077567e+02;-1.808686432434350877e+02;1.504165696315095033e+02
1.054331508983753167e+02;-1.889434205996772675e+02;1.501963594878635035e+02
1.038270831005131356e+02;-1.959958339564659013e+02;1.499438974184452604e+02
1.021665536657675517e+02;-2.020077348652552018e+02;1.496591122052743970e+02
1.004602875194255489e+02;-2.069712569301290728e+02;1.493414240772002302e+02
9.871703271693206716e+01;-2.108885353298421705e+02;1.489899522425155283e+02
9.694547859726151273e+01;-2.137712559574404736e+02;1.486037572577098160e+02
9.515417845097472593e+01;-2.156400112096721955e+02;1.481820935341152961e+02
9.335147841043364281e+01;-2.165234435510041067e+02;1.477246451288591800e+02
9.154545439179132416e+01;-2.164571678836188084e+02;1.472317185080339073e+02
8.974385894570666267e+01;-2.154824741691152212e+02;1.467043694660473818e+02
8.795407982230607047e+01;-2.136448207125303611e+02;1.461444477482465913e+02
8.618311193383115665e+01;-2.109921387516104119e+02;1.455545516049858179e+02
8.443754417644589694e+01;-2.075729839497267903e+02;1.449378945075172567e+02
8.272356220133571014e+01;-2.034345904984843401e+02;1.442980963358119197e+02
8.104696766813782460e+01;-1.986209063604650282e+02;1.436389202737839810e+02
7.941321376199462634e+01;-1.931707106349708170e+02;1.429639833743429165e+02
7.782745582422164432e+01;-1.871159331210841970e+02;1.422764725212401231e+02
7.629461487664322306e+01;-1.804803080235600987e+02;1.415788979027491905e+02
7.481945069049564268e+01;-1.732784938360234150e+02;1.408729131023454784e+02
7.340663997937616614e+01;-1.655157771760494256e+02;1.401592248396662796e+02
7.206085440422815225e+01;-1.571884511653854588e+02;1.394376068522300898e+02
7.078683245995307516e+01;-1.482849220060808193e+02;1.387070221642307501e+02
6.958943903746013859e+01;-1.387875517672355841e+02;1.379658470046587411e+02
6.847370659716581542e+01;-1.286751905947815544e+02;1.372121790883043957e+02
6.744485252754711269e+01;-1.179262904254042610e+02;1.364442041201399718e+02
6.650826842340907774e+01;-1.065224337369164687e+02;1.356605882876904445e+02
6.566947863193183821e+01;-9.445206667570630543e+01;1.348608617867271846e+02
6.493406731214730598e+01;-8.171420423171326775e+01;1.340457591982319911e+02
6.430757522806995041e+01;-6.832187590046913783e+01;1.332174864845818831e+02
6.379536938047282035e+01;-5.430509510439861742e+01;1.323798908920063582e+02
6.340249030966330679e+01;-3.971315242268602219e+01;1.315385183970804803e+02
6.313348350676138665e+01;-2.461604306724780145e+01;1.307005527718140456e+02
6.299222292520917676e+01;-9.104845187225123482e+00;1.298746401189665391e+02
