9.390919875088464153e+00;2.279285027980237999e+01;2.132337782017125249e+01;3.079124407980438605e+01;8.320054097801842019e+00;7.348292026611254357e+01;4.754011649840082043e+01;9.286833089573634936e+01;5.132152876958411980e+01;1.026581129427891881e+02
9.484846819643593108e+00;2.169462265983514371e+01;2.143030163095555807e+01;2.972158177385821887e+01;8.738714460004002760e+00;7.247222588943517962e+01;4.752258415894572607e+01;9.269896649716299919e+01;5.125189277338688498e+01;1.026939209168139939e+02
9.579604775510857095e+00;2.060607126207698769e+01;2.153811549000653258e+01;2.866344164459563260e+01;9.155918927070901603e+00;7.147195180136937154e+01;4.750507181635062892e+01;9.253141748871001937e+01;5.118277004708209432e+01;1.027275517410703287e+02
9.689547422480355721e+00;1.953174918929226678e+01;2.165928881007096862e+01;2.762531841501202123e+01;9.575483248552737692e+00;7.048823937086436331e+01;4.748847997528126541e+01;9.236732617305096937e+01;5.111501399890191522e+01;1.027576871587339014e+02
9.828448033137647144e+00;1.847583264577476925e+01;2.180576655498988359e+01;2.661505776166412929e+01;1.000101037847051266e+01;6.952674254174095836e+01;4.747370262158906229e+01;9.220825644489598005e+01;5.104948084556376386e+01;1.027831814869135343e+02
1.000894099065406628e+01;1.744216016895986243e+01;2.198846669237562779e+01;2.563973198747728333e+01;1.043561690074721859e+01;6.859256163093982650e+01;4.746160129369436476e+01;9.205566018022689434e+01;5.098701358341770629e+01;1.028031177387462805e+02
1.024205773781121565e+01;1.643428187483290159e+01;2.221686209062339756e+01;2.470555217419546423e+01;1.088170151153675214e+01;6.769019485206493414e+01;4.745298002636278056e+01;9.191084639503932863e+01;5.092842328019428777e+01;1.028168545228153334e+02
1.053687559318063727e+01;1.545551494935735093e+01;2.249866389481834972e+01;2.381781910574582284e+01;1.134076776650965890e+01;6.682350829703592865e+01;4.744856171988399751e+01;9.177495386902602093e+01;5.087446817591957426e+01;1.028240608108137195e+02
1.090028899073615776e+01;1.450900162460442111e+01;2.283961521800794969e+01;2.298091330401934584e+01;1.181330864340539755e+01;6.599572440358767267e+01;4.744896660403604471e+01;9.164892775977058648e+01;5.082583165520778579e+01;1.028247358769264963e+02
1.133690398775860508e+01;1.359776598770162437e+01;2.324339597877852981e+01;2.219832247206020881e+01;1.229875566969346323e+01;6.520942821893943631e+01;4.745469357246297193e+01;9.153350061813686978e+01;5.078310060252867686e+01;1.028192122459222588e+02
1.184904902632097823e+01;1.272476616522041937e+01;2.371163256541644770e+01;2.147270262912341110e+01;1.279549081386364939e+01;6.446659009546867480e+01;4.746610522078097461e+01;9.142917819980897320e+01;5.074674590932347229e+01;1.028081403425492795e+02
1.243688843956260648e+01;1.189293870443421142e+01;2.424400018922066735e+01;2.080596740859148142e+01;1.330091537839106230e+01;6.376860286560372515e+01;4.748341739589181287e+01;9.133623055122390610e+01;5.071710692302470846e+01;1.027924546459011594e+02
1.309862038468315504e+01;1.110523235533992903e+01;2.483840157003640314e+01;2.019939853962513610e+01;1.381156703101372152e+01;6.311633106334777921e+01;4.750669392963297355e+01;9.125468898396476902e+01;5.069438140668086135e+01;1.027733224177608378e+02
1.383073789288473243e+01;1.036462896847545601e+01;2.549120304211710319e+01;1.965376958010232755e+01;1.432327402781593406e+01;6.251016939196674826e+01;4.753584697880010879e+01;9.118434966070280723e+01;5.067862215581741481e+01;1.027520773850202715e+02
1.462833052540615775e+01;9.674149873390442522e+00;2.619750819395755315e+01;1.916947457463557924e+01;1.483133464486070530e+01;6.195010738336164735e+01;4.757064304048802228e+01;9.112478450612451297e+01;5.066974087178208208e+01;1.027301420064439981e+02
1.548540456154777445e+01;9.036846870815557153e+00;2.695144958698199034e+01;1.874665346017993883e+01;1.533070975684864479e+01;6.143579708115680660e+01;4.761071429871707039e+01;9.107535995280541385e+01;5.066751929623014661e+01;1.027089430362714921e+02
1.639520147563485608e+01;8.455777809077003937e+00;2.774648070886335205e+01;1.838530666792802748e+01;1.581621722119743723e+01;6.096662066243381162e+01;4.765557455416983856e+01;9.103526361110860421e+01;5.067162702864678892e+01;1.026898258999023597e+02
1.735049738300326894e+01;7.933967566281220130e+00;2.857565284022232177e+01;1.808539241108526596e+01;1.628271805190222210e+01;6.054175524612858794e+01;4.770463867588735951e+01;9.100353836189476908e+01;5.068164491459593535e+01;1.026739738050928139e+02
1.834386981662316174e+01;7.474356084934846933e+00;2.943186464560914217e+01;1.784690157060224180e+01;1.672528609714576220e+01;6.016023272458699012e+01;4.775724435801470236e+01;9.097912271744328905e+01;5.069709242886288081e+01;1.026623374212794602e+02
1.936792229200752757e+01;7.079735880216320609e+00;3.030807572955415807e+01;1.766990686943273658e+01;1.713935487018939341e+01;5.982099323127084745e+01;4.781267498215166967e+01;9.096089570364202359e+01;5.071745710276066887e+01;1.026555803084683873e+02
2.041546129067992865e+01;6.752682133005524001e+00;3.119747884180354092e+01;1.755458508386398719e+01;1.752083715334530822e+01;5.952293169791709460e+01;4.787018253355356023e+01;9.094772408532942620e+01;5.074222378198935957e+01;1.026540440851693745e+02
2.147962422823632167e+01;6.495479028871743665e+00;3.209362863682196121e+01;1.750121320528173641e+01;1.786621487626823779e+01;5.926493771694585178e+01;4.792900972469931986e+01;9.093850954073677428e+01;5.077090138650664386e+01;1.026577357074971530e+02
2.255396040949922920e+01;6.310046354877585806e+00;3.299052770980034666e+01;1.751014148383305269e+01;1.817259849004314276e+01;5.904592948851471590e+01;4.798841068534646581e+01;9.093223339821560103e+01;5.080304492614978074e+01;1.026663373772823604e+02
2.363246972448529704e+01;6.197870475434815951e+00;3.388267292388982810e+01;1.758174789530913174e+01;1.843775657800420475e+01;5.886488292121426724e+01;4.804766976493876740e+01;9.092799675251104929e+01;5.083827085528848500e+01;1.026792377251134383e+02
2.470960580348168634e+01;6.159943660120901221e+00;3.476506676226488679e+01;1.771637958397614199e+01;1.866011773344284208e+01;5.872085695302213537e+01;4.810611816423803333e+01;9.092505413284933979e+01;5.087626444761735200e+01;1.026955812390491900e+02
2.578025150156212675e+01;6.196715339408971346e+00;3.563319960711943679e+01;1.791428717094463252e+01;1.883874776699290265e+01;5.861301589993657046e+01;4.816314825979549141e+01;9.092283934843227655e+01;5.091677869659937272e+01;1.027143316147941761e+02
2.683967496275701592e+01;6.308058252795101239e+00;3.648300953518369028e+01;1.817555752694741500e+01;1.897330606869007141e+01;5.854064919725146154e+01;4.821822557277635468e+01;9.092098263828755478e+01;5.095962518451672452e+01;1.027343439122697504e+02
2.788347422498688744e+01;6.493251678617540712e+00;3.731082650123432387e+01;1.850004984964346022e+01;1.906398545237741615e+01;5.850318836725986671e+01;4.827089832459976293e+01;9.091931875881692804e+01;5.100465825808346665e+01;1.027544401525906892e+02
2.890751752341592251e+01;6.750983049453173734e+00;3.811330771434585074e+01;1.888733889082959649e+01;1.911144008905407432e+01;5.850022052669418571e+01;4.832080441221855693e+01;9.091788612027677630e+01;5.105175455334903489e+01;1.027734832215998182e+02
2.990788531057734190e+01;7.079368312621366677e+00;3.888737064029448476e+01;1.933666817506496827e+01;1.911670623211261244e+01;5.853149733134748089e+01;4.836767547219953656e+01;9.091691750929273041e+01;5.110079032622939366e+01;1.027904445424701407e+02
3.088081870484122859e+01;7.475990444426272141e+00;3.963012943799561327e+01;1.984691517589104137e+01;1.908112037110249304e+01;5.859693802859469969e+01;4.841133755918106374e+01;9.091682329397099238e+01;5.115161913044146047e+01;1.028044618063386082e+02
3.182267773677657985e+01;7.937954618729978762e+00;4.033883982115350619e+01;2.041656967984686588e+01;1.900623921423889584e+01;5.869662531358045499e+01;4.845170790197596489e+01;9.091816829352988805e+01;5.120405216877239241e+01;1.028148839911625316e+02
3.272991147227666886e+01;8.461957699566264424e+00;4.101085638979596837e+01;2.104372589137429017e+01;1.889376547948475249e+01;5.883079297472259839e+01;4.848878724742424851e+01;9.092164370138503671e+01;5.125784320185233156e+01;1.028213018702813031e+02
3.359904090344369365e+01;9.044368989553262850e+00;4.164360544275825049e+01;2.172608812781672682e+01;1.874548287166506100e+01;5.899980481708432478e+01;4.852264746693373354e+01;9.092803557593519770e+01;5.131267932207218507e+01;1.028235631571599242e+02
3.442665445306279537e+01;9.681318530029386693e+00;4.223457518310359404e+01;2.246098920745383154e+01;1.856320286038811318e+01;5.920412497339001590e+01;4.855341439514553059e+01;9.093819145367669421e+01;5.136817825842663865e+01;1.028217723166982438e+02
3.520941508085413574e+01;1.036878873583420635e+01;4.278132407707160922e+01;2.324541991164546673e+01;1.834872498739144220e+01;5.944428035410705036e+01;4.858124630280244105e+01;9.095298659243856321e+01;5.142389220430411001e+01;1.028162758761471594e+02
3.594407735398206682e+01;1.110270480327942977e+01;4.328150694428491363e+01;2.407606730399560391e+01;1.810381147558421233e+01;5.972081657264555332e+01;4.860630895123323825e+01;9.097329121885559289e+01;5.147931747486978793e+01;1.028076347782681808e+02
3.662751247512839825e+01;1.187901922323365511e+01;4.373291717830935710e+01;2.494935928347554466e+01;1.783017595537992506e+01;6.003424915710512977e+01;4.862874875676691033e+01;9.099993993857252406e+01;5.153390864906702973e+01;1.027965859268238944e+02
3.725673914024155664e+01;1.269378592968262076e+01;4.413354236799457198e+01;2.586151254399891997e+01;1.752948524011188880e+01;6.038501219959938737e+01;4.864866609988244761e+01;9.103370418155395782e+01;5.158709532044463231e+01;1.027839955687434355e+02
3.782895818390732501e+01;1.354322014620055192e+01;4.448162956060102857e+01;2.680858107777612176e+01;1.720337232806150851e+01;6.077340679465930151e+01;4.866609114214094234e+01;9.107526821958830965e+01;5.163829927862710178e+01;1.027708075221436559e+02
3.834158919722123215e+01;1.442374082906510147e+01;4.477575553057793201e+01;2.778650245781035366e+01;1.685345821679772982e+01;6.119955168794013645e+01;4.868096459490833183e+01;9.112520894476587330e+01;5.168694995571912187e+01;1.027579894722986467e+02
3.879230758900261833e+01;1.533199367262961310e+01;4.501489675318273243e+01;2.879113935149514347e+01;1.648137970642903838e+01;6.166333850036412656e+01;4.869312569075515995e+01;9.118397929028293447e+01;5.173249633117963953e+01;1.027464805915111867e+02
3.917908082255855362e+01;1.626485385224148317e+01;4.519849339839142033e+01;2.981831405972596016e+01;1.608882016290385408e+01;6.216439370497642614e+01;4.870230915143790895e+01;9.125189497196322463e+01;5.177441415890996268e+01;1.027371435682328524e+02
3.950020273255486813e+01;1.721940894830830615e+01;4.532650163114612241e+01;3.086383435737811354e+01;1.567754022879894116e+01;6.270204920321795328e+01;4.870815226511079743e+01;9.132912417913352954e+01;5.181220825936693331e+01;1.027307237460546219e+02
3.975432488030940448e+01;1.819292373784799111e+01;4.539942889467139508e+01;3.192350953019303361e+01;1.524940570341449053e+01;6.327532287317342252e+01;4.871021234209197814e+01;9.141567995289710780e+01;5.184541055507085616e+01;1.027278174987709747e+02
